transaction_id,procedure_id,trans_group_id,trans_group_en,procedure_name_en,instance_date,property_type_id,property_type_en,property_sub_type_id,property_sub_type_en,property_usage_en,reg_type_id,reg_type_en,area_id,area_name_en,building_name_en,project_number,project_name_en,master_project_en,nearest_landmark_en,nearest_metro_en,nearest_mall_en,rooms_en,has_parking,procedure_area,actual_worth,meter_sale_price,rent_value,meter_rent_price,no_of_parties_role_1,no_of_parties_role_2,no_of_parties_role_3,month_year,month,season
1-851-2015-762,851,1,Sales,Development Registration Pre-Registration,2016-02-25,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,484,Nadd Hessa,BINGHATTI APARTMENTS,1630.0,BINGHATTI APARTMENTS,Silicon Oasis,IMG World Adventures,,,Studio,1,42.01,409526.0,9748.3,,,1.0,1.0,0.0,2016-02,2,Winter
1-102-2021-14187,102,1,Sales,Sell - Pre registration,2021-08-23,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,526,Business Bay,15 Northside - Tower 1,2214.0,15 Northside,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,Studio,1,35.18,710000.0,20181.92,,,1.0,1.0,0.0,2021-08,8,Summer
2-13-2023-127,13,2,Mortgages,Mortgage Registration,2023-01-05,3,Unit,60.0,Flat,Residential,1,Existing Properties,464,Wadi Al Safa 2,TALA 2,1216.0,QPOINT LIWAN-PLOT R098,Liwan,IMG World Adventures,,,3 B/R,1,161.19,571870.0,3547.8,,,1.0,1.0,0.0,2023-01,1,Winter
1-11-2017-4836,11,1,Sales,Sell,2017-04-05,3,Unit,60.0,Flat,Residential,1,Existing Properties,526,Business Bay,HAMILTON  RESIDENCY,56.0,HAMILTON RESIDENCY,Business Bay,Downtown Dubai,Buj Khalifa Dubai Mall Metro Station,Dubai Mall,1 B/R,1,84.18,1300000.0,15443.1,,,1.0,1.0,0.0,2017-04,4,Spring
1-41-2022-8738,41,1,Sales,Delayed Sell,2022-05-24,1,Land,,,Commercial,1,Existing Properties,445,Jabal Ali First,,2375.0,Jebel Ali Village Townhouses- Phase 1,Jabal Ali Village,,,,,0,240.55,2558800.0,10637.29,,,1.0,2.0,0.0,2022-05,5,Spring
2-190-2022-920,190,2,Mortgages,Delayed Mortgage,2022-07-29,4,Villa,4.0,Villa,Residential,1,Existing Properties,463,Wadi Al Safa 7,,2110.0,AR II Camelia 2,,Motor City,,,3 B/R,0,140.0,1830757.0,13076.84,,,1.0,1.0,0.0,2022-07,7,Summer
1-102-2023-41776,102,1,Sales,Sell - Pre registration,2023-08-24,4,Villa,4.0,Villa,Residential,0,Off-Plan Properties,469,Al Yufrah 1,,2704.0,The Valley - Rivana,,,,,5 B/R,0,418.41,4432888.0,10594.6,,,1.0,1.0,0.0,2023-08,8,Summer
1-41-2009-200816,41,1,Sales,Delayed Sell,2009-06-25,3,Unit,60.0,Flat,Residential,1,Existing Properties,444,Al Hebiah First,DICKENS CIRCUS 3,,,Motor City,Motor City,Sharaf Dg Metro Station,Mall of the Emirates,2 B/R,1,172.24,1705000.0,9898.98,,,1.0,2.0,0.0,2009-06,6,Summer
1-102-2017-18062,102,1,Sales,Sell - Pre registration,2017-09-18,3,Unit,60.0,Flat,Residential,0,Off-Plan Properties,441,Al Barsha South Fourth,GHALIA,1505.0,GHALIA,Jumeirah Village Circle,Sports City Swimming Academy,Nakheel Metro Station,Marina Mall,Studio,1,37.81,509000.0,13462.05,,,1.0,1.0,0.0,2017-09,9,Autumn
1-41-2021-8353,41,1,Sales,Delayed Sell,2021-08-17,1,Land,,,Residential,1,Existing Properties,482,Hadaeq Sheikh Mohammed Bin Rashid,,1014.0,Emerald Hills at Dubai Hills,DUBAI HILLS - EMERALD HILLS,IMG World Adventures,Noor Bank Metro Station,Mall of the Emirates,,0,1677.77,15455888.0,9212.16,,,1.0,1.0,0.0,2021-08,8,Summer
2-13-2021-3259,13,2,Mortgages,Mortgage Registration,2021-03-24,3,Unit,60.0,Flat,Residential,1,Existing Properties,366,Al Kifaf,PARK GATE RESIDENCES 1,1957.0,Park Gate Residences,Wasl 1,Burj Khalifa,Al Jafiliya Metro Station,Dubai Mall,2 B/R,1,149.5,800000.0,5351.17,,,2.0,1.0,0.0,2021-03,3,Spring
1-11-2020-1309,11,1,Sales,Sell,2020-02-05,4,Villa,,,Residential,1,Existing Properties,523,Al Hebiah Third,,1357.0,DAMAC HILLS - PICCADILLY GREEN,DAMAC HILLS,Motor City,,,,0,388.72,2910000.0,7486.11,,,1.0,2.0,0.0,2020-02,2,Winter
